reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-07-1028;1;Imposé par l’administration;Alimentation;Autres;JAMPI;VANILLE BOURBON 5 L;3574100079008 2021902 Date de durabilité minimale 22/01/2023 3574100079008 2022601 Date de durabilité minimale 30/01/2023 3574100079008 2022602 Date de durabilité minimale 30/01/2023 3574100079008 2023201 Date de durabilité minimale 06/02/2023;;Du 05/06/2020 au 19/06/2021;Produit à conserver au congélateur;;;France entière;TOUS DISTRIBUTEURS;Suspicion de présence d'oxyde éthylène (ETO) dans quelques lots de stabilisants (texturant pour glace). D'après un calcul théorique, la teneur en ETO est supérieure de 0,03958 mg/kg à la LMR (fixée à 0,02 mg/kg).;Dépassement des limites autorisées de pesticides;;Risque d'une non-conformité d'une des matières premières, qui ne représenterait qu'un pourcentage compris entre 0,1% et 0,3%;Ne plus consommer Rapporter le produit au point de vente;;Echange;mercredi 15 septembre 2021;;http://rappel.conso.gouv.fr/image/1baeecde-f6ea-45d9-a34c-7c31348dd44f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2212/Interne;2021-07
2021-07-1029;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT FRAMBOISE 2.5L;347588200709200 609717 Date de consommation recommandée 28/05/2023;;Du 31/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/9ce4fb8a-2f2b-4422-954d-0429aed5f6e7.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2213/Interne;2021-07
2021-07-1030;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT FRAMBOISE 1L;3475882007060 609808 Date de consommation recommandée 28/05/2023;;Du 31/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/eb8b4ce5-e098-49db-9798-dde0b413f1ab.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2214/Interne;2021-07
2021-07-1031;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT MANGUE 1L;3475882007138 608874 Date de consommation recommandée 22/05/2023;;Du 24/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/2ed143ef-a264-4ae3-a53b-f3e806f3aad0.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2215/Interne;2021-07
2021-07-1032;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT FRAISE 1L;3475882007008 606586 Date de consommation recommandée 02/05/2023;;Du 03/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/d32e2901-5401-47a1-9013-a51c65cb3cae.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2216/Interne;2021-07
2021-07-1033;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT ANANAS 1L;3475882007022 603087 Date de consommation recommandée 11/04/2023;;Du 12/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/61d909df-b76c-493e-ae82-546bfe536481.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2217/Interne;2021-07
2021-07-1034;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT PASSION 1L;3475882007053 608668 Date de consommation recommandée 21/05/2023 3475882007053 601465 Date de consommation recommandée 30/03/2023 3475882007053 604392 Date de consommation recommandée 19/04/2023;;Du 31/03/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/eb6cb80b-4b4c-4f5f-b1a8-5badd1b5986a.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2218/Interne;2021-07
2021-07-1035;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT VIOLETTE 1L;3475882007329 609205 Date de consommation recommandée 24/05/2023 3475882007329 604575 Date de consommation recommandée 23/04/2023;;Du 26/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/97f4a46b-9902-4669-96c1-eb29529aae66.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2219/Interne;2021-07
2021-07-1036;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT ANANAS 2.5L;3475882009316 602931 Date de consommation recommandée 10/04/2023;;Du 12/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/6a255c7d-eccb-478d-aaad-a55641a87d8b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2220/Interne;2021-07
2021-07-1037;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT ABRICOT 2.5L;3475882009316 602922 Date de consommation recommandée 10/04/2023;;Du 12/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/8ca451ef-3a13-4b90-ada0-ca65bbbe8a1c.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2221/Interne;2021-07
2021-07-1038;1;Volontaire;Alimentation;Lait et produits laitiers;L'Empereur;Saint-Nectaire Fermier 1/8, Saint-Nectaire Fermier 1/4, Saint-Nectaire Fermier 1/2, Saint-Nectaire Fermier 1/6, Saint-Nectaire Fermier entier;CG 24 Date limite de consommation entre le 29/07/2021 et le 31/07/2021;1/2, 1/4, 1/8, 1/6 et entier;Du 13/07/2021 au 23/07/2021;Produit à conserver au réfrigérateur;FR 15 141 001 CE;;France entière;Spar, Netto, Carrefour, Super U, Intermarché, Leclerc, Casino, Auchan;Présence de Listéria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Contacter le point de vente Détruire le produit;471205004;Remboursement;mardi 10 août 2021;;http://rappel.conso.gouv.fr/image/e0032609-3ca6-4563-b1ca-fac962dde62e.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2222/Interne;2021-07
2021-07-1039;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT FRAISE 2.5L;3475882009194 604946 Date de consommation recommandée 25/04/2023 3475882009194 606121 Date de consommation recommandée 01/05/2023 3475882009194 603436 Date de consommation recommandée 10/04/2023;;Du 13/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/29f7e1c8-08c7-4ae8-9f46-1e26cc991e40.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2223/Interne;2021-07
2021-07-1040;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT MANGUE 2.5L;3475882009279 608143 Date de consommation recommandée 17/05/2023;;Du 18/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/f5cb7d9a-6f5f-4667-8a68-122ce27d22e4.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2224/Interne;2021-07
2021-07-1041;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT PASSION 2.5L;3475882009217 608655 Date de consommation recommandée 21/05/2023;;Du 22/03/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/fd398349-4e67-4576-8f07-dc0db083eead.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2225/Interne;2021-07
2021-07-1042;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT ROSE 2.5L;3475882009248 1089 Date de consommation recommandée 20/03/2023;;Du 22/03/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/4083811f-1102-4455-a8f1-2f00b84eed63.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2226/Interne;2021-07
2021-07-1043;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;CITRONS GIVRES PAR 6;3475883001012 601327 Date de consommation recommandée 04/04/2023;;Du 05/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/756c6057-5a8a-4e6a-8386-43c99787e9e8.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2227/Interne;2021-07
2021-07-1044;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;COEUR FRAISE 10 PARTS;3475880662421 604051 Date de consommation recommandée 23/04/2023;;Du 26/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/bd3e98a6-302b-42e1-8d86-361134708381.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2228/Interne;2021-07
2021-07-1045;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;COEUR VIOLETTE 10 PARTS;3475880662452 603904 Date de consommation recommandée 07/05/2023;;Du 10/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/c660558b-bbf6-4b87-8eaa-ce266ae7611e.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2229/Interne;2021-07
2021-07-1046;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;DUO POMMES D'AMOUR;3475880124325 598486 Date de consommation recommandée 31/03/2023;;Du 24/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/404917d2-d351-433c-a24d-4581551c30a4.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2230/Interne;2021-07
2021-07-1047;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;MIGNARDISES DIVINES PAR 12;3475880123311 599507 Date de consommation recommandée 08/04/2023;;Du 09/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/4ecfe0c7-85ed-452d-8496-ce3bfc29e962.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2231/Interne;2021-07
2021-07-1048;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;PAVES VANILLE/VIOLETTE PAR 8;3475880122574 608849 Date de consommation recommandée 01/06/2023;;Du 04/06/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/ae935e0a-bb20-4729-8b28-889965231616.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2232/Interne;2021-07
2021-07-1049;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SENSATION 6 PARTS;3475880661486 597665 Date de consommation recommandée 16/03/2023;;Du 19/03/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/253f63b6-032b-410b-a45b-2100a1051e32.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2233/Interne;2021-07
2021-07-1050;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;VIOLETTE 6 PARTS;3475880123113 602664 Date de consommation recommandée 25/04/2023;;Du 27/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/65a605c9-256e-4481-9923-c673e6e8bb29.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2234/Interne;2021-07
2021-07-1051;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT ROSE 1L;3475882007336 599713 Date de consommation recommandée 19/03/2023;;Du 22/03/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/fc330e25-6bd1-4bf4-9589-f79f466e4133.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2235/Interne;2021-07
2021-07-1052;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT POMME VERTE 2.5L;3475882009170 602955 Date de consommation recommandée 10/04/2023;;Du 12/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/0e0e019b-8167-4c77-b2f3-27c0a8029d76.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2236/Interne;2021-07
2021-07-1053;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT POMME VERTE 1L;3475882007084 603204 Date de consommation recommandée 12/04/2023;;Du 13/04/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/e79cfba4-014f-455d-9961-0912a5f64d40.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2237/Interne;2021-07
2021-07-1054;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT CITRON JAUNE 1L;3475882007046 609101 Date de consommation recommandée 23/05/2023;;Du 24/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/94c3c32f-10f8-4b87-b989-970da62976b5.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2238/Interne;2021-07
2021-07-1055;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT MANDARINE 1L;3475882007268 606687 Date de consommation recommandée 04/05/2023;;Du 06/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/1030bd5f-b46e-49b4-9e29-942b01bb1ff2.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2239/Interne;2021-07
2021-07-1056;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT CITRON JAUNE 2.5L;3475882007046 608191 Date de consommation recommandée 17/05/2023;;Du 18/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/0ac7c169-77db-4d8a-b2b9-d2285cd3c086.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2240/Interne;2021-07
2021-07-1057;1;Imposé par l’administration;Alimentation;Lait et produits laitiers;VAN DEN CASTEELE;SORBET PLEIN FRUIT MANDARINE 2.5L;3475882009323 606196 Date de consommation recommandée 04/05/2023;;Du 05/05/2021 au 26/07/2021;Produit à conserver au congélateur;59.546.030;;France entière;TOUS DISTRIBUTEURS;Présence d'oxyde d'éthylène à des niveaux supérieurs à ceux autorisés par la législation européenne dans l'un des ingrédients entrant dans la composition des produits concernés.;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente;;Echange Autre (voir informations complémentaires);mercredi 1 septembre 2021;Conserver l'emballage. Echanges ou remboursements via bon d'achats.;http://rappel.conso.gouv.fr/image/470b7e36-2e4d-4a5e-9143-095ad35a84ce.jpg;;http://rappel.conso.gouv.fr/affichettePDF/2241/Interne;2021-07
